0.135, 0.104, 0.009, 0.105, 0.647, 6.7342229e-04
0.189, 0.061, 0.009, 0.131, 0.611, 7.1306569e-04
0.027, 0.070, 0.061, 0.393, 0.450, 1.0329308e-03
0.162, 0.096, 0.000, 0.236, 0.507, 8.6214977e-04
0.216, 0.017, 0.070, 0.157, 0.540, 7.9779930e-04
0.081, 0.035, 0.078, 0.288, 0.518, 8.7425513e-04
0.081, 0.096, 0.000, 0.236, 0.588, 7.6588714e-04
0.189, 0.044, 0.044, 0.131, 0.593, 7.3067014e-04
0.189, 0.070, 0.035, 0.157, 0.550, 7.8369099e-04
0.027, 0.000, 0.113, 0.367, 0.493, 9.4825686e-04
0.108, 0.052, 0.070, 0.262, 0.508, 8.7640796e-04
0.189, 0.096, 0.000, 0.236, 0.480, 9.0110299e-04
0.108, 0.044, 0.044, 0.340, 0.465, 9.7505132e-04
0.216, 0.078, 0.017, 0.157, 0.531, 8.0406577e-04
0.216, 0.044, 0.061, 0.079, 0.601, 7.0840859e-04
0.027, 0.113, 0.026, 0.393, 0.441, 1.0460220e-03
0.081, 0.061, 0.070, 0.157, 0.631, 7.0345009e-04
0.027, 0.026, 0.104, 0.393, 0.450, 1.0389317e-03
0.054, 0.052, 0.052, 0.419, 0.423, 1.0987398e-03
0.054, 0.035, 0.096, 0.157, 0.658, 6.8174363e-04
0.000, 0.087, 0.017, 0.262, 0.634, 7.3080432e-04
0.000, 0.026, 0.104, 0.288, 0.581, 7.9739047e-04
0.000, 0.009, 0.139, 0.209, 0.643, 7.1240921e-04
0.162, 0.044, 0.070, 0.026, 0.699, 6.1809376e-04
0.000, 0.052, 0.096, 0.236, 0.616, 7.4309218e-04
0.108, 0.000, 0.096, 0.157, 0.639, 6.9813744e-04
0.162, 0.000, 0.113, 0.026, 0.699, 6.1923918e-04
0.189, 0.017, 0.052, 0.236, 0.506, 8.6855519e-04
0.324, 0.044, 0.009, 0.079, 0.545, 7.6487469e-04
0.108, 0.104, 0.000, 0.131, 0.657, 6.7279156e-04
0.135, 0.000, 0.078, 0.209, 0.577, 7.7319099e-04
0.054, 0.017, 0.131, 0.288, 0.510, 8.9110402e-04
0.081, 0.104, 0.035, 0.340, 0.439, 1.0227603e-03
0.027, 0.052, 0.096, 0.393, 0.432, 1.0747041e-03
0.027, 0.044, 0.078, 0.209, 0.642, 7.1041265e-04
0.000, 0.131, 0.009, 0.288, 0.573, 8.0175635e-04
