0.088, 0.044, 0.097, 0.017, 0.754, 5.8148376e-04
0.000, 0.070, 0.044, 0.083, 0.803, 5.6931844e-04
0.159, 0.114, 0.000, 0.000, 0.727, 5.9298482e-04
0.177, 0.079, 0.009, 0.099, 0.636, 6.8191905e-04
0.088, 0.097, 0.000, 0.017, 0.798, 5.5753922e-04
0.018, 0.088, 0.062, 0.050, 0.783, 5.7233880e-04
0.159, 0.009, 0.062, 0.000, 0.771, 5.7061044e-04
0.177, 0.053, 0.026, 0.033, 0.711, 6.1179372e-04
0.000, 0.000, 0.106, 0.033, 0.861, 5.3224429e-04
0.071, 0.026, 0.079, 0.017, 0.807, 5.5393361e-04
0.247, 0.026, 0.053, 0.000, 0.673, 6.3077153e-04
0.159, 0.053, 0.044, 0.000, 0.744, 5.8408695e-04
0.000, 0.123, 0.035, 0.182, 0.659, 6.8657064e-04
0.000, 0.053, 0.097, 0.083, 0.768, 5.8883304e-04
0.018, 0.044, 0.079, 0.017, 0.843, 5.3683827e-04
0.071, 0.009, 0.106, 0.149, 0.666, 6.7405499e-04
0.088, 0.062, 0.062, 0.000, 0.788, 5.5936710e-04
0.141, 0.070, 0.018, 0.133, 0.638, 6.8927473e-04
0.053, 0.044, 0.088, 0.182, 0.633, 7.1048477e-04
0.071, 0.035, 0.106, 0.083, 0.706, 6.2727476e-04
0.053, 0.114, 0.009, 0.215, 0.608, 7.3954040e-04
0.000, 0.150, 0.009, 0.033, 0.808, 5.5523518e-04
0.230, 0.053, 0.044, 0.000, 0.673, 6.2951770e-04
0.230, 0.000, 0.097, 0.017, 0.657, 6.4732483e-04
0.018, 0.132, 0.009, 0.166, 0.676, 6.6782321e-04
0.035, 0.097, 0.053, 0.199, 0.616, 7.2931553e-04
0.071, 0.079, 0.053, 0.149, 0.648, 6.8625961e-04
0.071, 0.053, 0.070, 0.000, 0.806, 5.5062542e-04
0.124, 0.062, 0.053, 0.017, 0.745, 5.8647187e-04
0.053, 0.070, 0.062, 0.182, 0.633, 7.0938861e-04
0.035, 0.053, 0.062, 0.066, 0.784, 5.7575112e-04
0.035, 0.026, 0.088, 0.232, 0.618, 7.3900024e-04
0.212, 0.009, 0.088, 0.033, 0.658, 6.5017613e-04
0.018, 0.053, 0.088, 0.149, 0.692, 6.5331585e-04
0.194, 0.009, 0.079, 0.017, 0.701, 6.1570254e-04
0.106, 0.070, 0.044, 0.000, 0.780, 5.6395284e-04
0.088, 0.000, 0.106, 0.149, 0.657, 6.8127509e-04
0.018, 0.009, 0.097, 0.166, 0.711, 6.4472821e-04
0.035, 0.062, 0.079, 0.000, 0.824, 5.4185760e-04
0.018, 0.018, 0.114, 0.050, 0.801, 5.6403927e-04
0.106, 0.000, 0.114, 0.033, 0.746, 5.9066103e-04
0.053, 0.018, 0.114, 0.017, 0.798, 5.5807227e-04
0.141, 0.026, 0.070, 0.050, 0.712, 6.1528991e-04
0.000, 0.018, 0.132, 0.066, 0.784, 5.7637925e-04
0.088, 0.035, 0.053, 0.133, 0.691, 6.4931686e-04
0.106, 0.035, 0.079, 0.083, 0.697, 6.3320324e-04
0.194, 0.070, 0.044, 0.000, 0.691, 6.1638814e-04
0.053, 0.009, 0.088, 0.099, 0.751, 6.0285709e-04
0.018, 0.079, 0.044, 0.265, 0.594, 7.7211028e-04
0.018, 0.070, 0.035, 0.166, 0.711, 6.4309004e-04
0.141, 0.088, 0.035, 0.050, 0.686, 6.3127474e-04
0.018, 0.026, 0.123, 0.199, 0.634, 7.1613590e-04
